modelbin,type,lmin,lmax,wmin,wmax
sky130_fd_pr__nfet_01v8__model.167,nmos,5.0e-07,1.0e-06,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.168,nmos,2.5e-07,5.0e-07,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.169,nmos,1.8e-07,2.5e-07,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.170,nmos,1.5e-07,1.8e-07,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.171,nmos,2.0e-05,0.0001,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.172,nmos,8.0e-06,2.0e-05,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.173,nmos,4.0e-06,8.0e-06,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.174,nmos,2.0e-06,4.0e-06,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.175,nmos,1.0e-06,2.0e-06,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.176,nmos,5.0e-07,1.0e-06,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.177,nmos,2.5e-07,5.0e-07,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.178,nmos,1.8e-07,2.5e-07,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.179,nmos,1.5e-07,1.8e-07,3.6e-07,3.9e-7
sky130_fd_pr__nfet_01v8__model.0,nmos,2.0e-05,0.0001,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.1,nmos,8.0e-06,2.0e-05,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.2,nmos,4.0e-06,8.0e-06,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.3,nmos,2.0e-06,4.0e-06,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.4,nmos,1.0e-06,2.0e-06,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.5,nmos,5.0e-07,1.0e-06,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.6,nmos,2.5e-07,5.0e-07,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.7,nmos,1.8e-07,2.5e-07,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.8,nmos,1.5e-07,1.8e-07,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.9,nmos,2.0e-05,0.0001,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.10,nmos,8.0e-06,2.0e-05,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.11,nmos,4.0e-06,8.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.12,nmos,2.0e-06,4.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.13,nmos,1.0e-06,2.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.14,nmos,5.0e-07,1.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.15,nmos,2.5e-07,5.0e-07,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.16,nmos,1.8e-07,2.5e-07,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.17,nmos,1.5e-07,1.8e-07,5.0e-06,7.0e-6
sky130_fd_pr__nfet_01v8__model.18,nmos,2.0e-05,0.0001,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.19,nmos,8.0e-06,2.0e-05,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.20,nmos,4.0e-06,8.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.21,nmos,2.0e-06,4.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.22,nmos,1.0e-06,2.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.23,nmos,5.0e-07,1.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.24,nmos,2.5e-07,5.0e-07,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.25,nmos,1.8e-07,2.5e-07,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.26,nmos,1.5e-07,1.8e-07,3.0e-06,5.0e-6
sky130_fd_pr__nfet_01v8__model.27,nmos,2.0e-05,0.0001,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.28,nmos,8.0e-06,2.0e-05,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.29,nmos,4.0e-06,8.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.30,nmos,2.0e-06,4.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.31,nmos,1.0e-06,2.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.32,nmos,5.0e-07,1.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.33,nmos,2.5e-07,5.0e-07,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.34,nmos,1.8e-07,2.5e-07,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.35,nmos,1.5e-07,1.8e-07,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.36,nmos,2.0e-05,0.0001,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.37,nmos,8.0e-06,2.0e-05,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.38,nmos,4.0e-06,8.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.39,nmos,2.0e-06,4.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.40,nmos,1.0e-06,2.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.41,nmos,5.0e-07,1.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.42,nmos,2.5e-07,5.0e-07,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.43,nmos,1.8e-07,2.5e-07,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.44,nmos,1.5e-07,1.8e-07,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.45,nmos,2.0e-05,0.0001,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.46,nmos,8.0e-06,2.0e-05,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.47,nmos,4.0e-06,8.0e-06,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.48,nmos,2.0e-06,4.0e-06,1.26e-06,1.68e-6
